participants;elecs;elec_label;con_idx;con_label1;con_label2;con_label3;time;time_label;amplitude
VP02;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';ipsi;5;cue_left_3t;cue_left;3t;[1000 1500]ms;probe;13.9532172932402
VP02;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';contra;5;cue_left_3t;cue_left;3t;[1000 1500]ms;probe;-1.53568679238088
VP02;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';contra;6;cue_right_3t;cue_right;3t;[1000 1500]ms;probe;10.2651622337688
VP02;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';ipsi;6;cue_right_3t;cue_right;3t;[1000 1500]ms;probe;0.771311307631368
VP03;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';ipsi;1;cue_left_3t3d;cue_left;3t_3d;[-1000 0]ms;tracking;1.32258495265883
VP03;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';contra;1;cue_left_3t3d;cue_left;3t_3d;[-1000 0]ms;tracking;1.84215666330764
VP03;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';contra;2;cue_right_3t3d;cue_right;3t_3d;[-1000 0]ms;tracking;4.44148949588258
VP03;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';ipsi;2;cue_right_3t3d;cue_right;3t_3d;[-1000 0]ms;tracking;-2.66656859067549
VP03;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';ipsi;3;cue_left_6t;cue_left;6t;[-1000 0]ms;tracking;-4.11925119433864
VP03;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';contra;3;cue_left_6t;cue_left;6t;[-1000 0]ms;tracking;2.66912045823945
VP03;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';contra;4;cue_right_6t;cue_right;6t;[-1000 0]ms;tracking;0.509471040810771
VP03;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';ipsi;4;cue_right_6t;cue_right;6t;[-1000 0]ms;tracking;-5.37192293631526
VP03;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';ipsi;5;cue_left_3t;cue_left;3t;[-1000 0]ms;tracking;3.33947410803299
VP03;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';contra;5;cue_left_3t;cue_left;3t;[-1000 0]ms;tracking;-2.45151823443978
VP03;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';contra;6;cue_right_3t;cue_right;3t;[-1000 0]ms;tracking;4.07824558376567
VP03;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';ipsi;6;cue_right_3t;cue_right;3t;[-1000 0]ms;tracking;-1.76772679773813
VP03;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';ipsi;1;cue_left_3t3d;cue_left;3t_3d;[500 1000]ms;retention;0.865456679363757
VP03;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';contra;1;cue_left_3t3d;cue_left;3t_3d;[500 1000]ms;retention;0.495906990927882
VP03;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';contra;2;cue_right_3t3d;cue_right;3t_3d;[500 1000]ms;retention;0.0387165739861599
VP03;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';ipsi;2;cue_right_3t3d;cue_right;3t_3d;[500 1000]ms;retention;-2.57631964409587
VP03;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';ipsi;3;cue_left_6t;cue_left;6t;[500 1000]ms;retention;-1.65248384755764
